pot,shoot_g,root_g,p_source
88,1.0633,0.26582,apatite
89,1.03319,0.33142,apatite
90,0.78058,0.23639,apatite
91,0.44472,0.20442,apatite
92,1.46505,0.29037,apatite
93,0.96034,0.22861,apatite
94,1.1193,0.21637,apatite
95,0.99943,0.29046,apatite
96,0.8995,0.25699,apatite
97,1.30643,0.24594,apatite
98,1.13466,0.33254,apatite
99,1.26571,0.2126,apatite
100,1.06363,0.28135,apatite
101,1.20083,0.24888,apatite
102,0.85992,0.22036,apatite
73,1.06626,0.28493,qd-apatite
74,0.72958,0.22189,qd-apatite
75,1.57225,0.31687,qd-apatite
76,1.29016,0.49784,qd-apatite
77,0.83189,0.28547,qd-apatite
79,0.81667,0.23499,qd-apatite
82,0.6865,0.18688,qd-apatite
84,0.81708,0.29296,qd-apatite
85,0.70495,0.2831,qd-apatite
86,1.18102,0.37744,qd-apatite